Transaction_ID,City,Date,Card_Type,Expense_Type,Gender,Amount
141,"Mumbai, India",2013-10-04,Gold,Bills,Female,990700
142,"Delhi, India",2014-03-14,Gold,Bills,Female,228565
143,"Bengaluru, India",2014-01-03,Silver,Bills,Female,297732
144,"Mumbai, India",2014-12-03,Signature,Bills,Female,559262
145,"Bengaluru, India",2014-07-01,Signature,Bills,Female,809907
146,"Ahmedabad, India",2014-08-21,Signature,Bills,Female,428316
147,"Ahmedabad, India",2014-03-05,Signature,Bills,Female,275065
148,"Bengaluru, India",2014-04-20,Silver,Bills,Female,845653
149,"Ahmedabad, India",2013-11-20,Signature,Bills,Female,236296
150,"Bengaluru, India",2014-09-25,Signature,Bills,Female,440572
151,"Ahmedabad, India",2015-02-06,Gold,Bills,Female,478115
152,"Bengaluru, India",2013-10-26,Gold,Bills,Female,897621
153,"Mumbai, India",2015-05-06,Signature,Bills,Female,554281
154,"Delhi, India",2014-09-30,Silver,Bills,Female,245452
155,"Delhi, India",2014-01-17,Platinum,Bills,Female,365045
156,"Mumbai, India",2015-01-11,Gold,Bills,Female,496047
157,"Bengaluru, India",2015-02-11,Silver,Bills,Female,466814
158,"Bengaluru, India",2014-11-10,Gold,Bills,Female,835177
159,"Delhi, India",2015-01-12,Silver,Bills,Female,219698
160,"Bengaluru, India",2014-10-18,Silver,Bills,Female,784541
161,"Delhi, India",2013-10-25,Signature,Bills,Female,576994
162,"Bengaluru, India",2015-05-15,Gold,Bills,Female,464663
163,"Bengaluru, India",2014-05-03,Platinum,Bills,Female,380270
164,"Ahmedabad, India",2014-10-02,Silver,Bills,Female,772082
165,"Delhi, India",2015-04-09,Gold,Bills,Female,230853
166,"Bengaluru, India",2013-10-06,Signature,Bills,Female,677654
167,"Mumbai, India",2014-02-05,Signature,Bills,Female,929247
168,"Ahmedabad, India",2015-04-09,Platinum,Bills,Female,851374
169,"Ahmedabad, India",2014-01-19,Platinum,Bills,Female,637600
170,"Mumbai, India",2013-11-09,Platinum,Bills,Female,681749
171,"Delhi, India",2014-03-25,Silver,Bills,Female,847958
172,"Mumbai, India",2014-02-18,Gold,Bills,Female,877569
173,"Ahmedabad, India",2013-10-14,Platinum,Bills,Female,450413
174,"Bengaluru, India",2015-05-01,Signature,Bills,Female,219041
175,"Bengaluru, India",2014-12-31,Gold,Bills,Female,866572
176,"Mumbai, India",2014-03-26,Signature,Bills,Female,570791
177,"Ahmedabad, India",2014-04-28,Silver,Bills,Female,705464
178,"Mumbai, India",2014-04-06,Signature,Bills,Female,806821
179,"Mumbai, India",2014-03-27,Platinum,Bills,Female,515472
180,"Ahmedabad, India",2014-09-23,Silver,Bills,Female,352207
181,"Ahmedabad, India",2015-03-04,Gold,Bills,Female,342761
182,"Bengaluru, India",2014-02-27,Signature,Bills,Female,249099
183,"Ahmedabad, India",2014-08-27,Platinum,Bills,Female,995634
184,"Bengaluru, India",2014-12-12,Signature,Bills,Female,435097
185,"Ahmedabad, India",2014-06-16,Platinum,Bills,Female,797815
186,"Delhi, India",2014-01-02,Gold,Bills,Female,326922
187,"Bengaluru, India",2014-12-11,Gold,Bills,Female,396241
188,"Delhi, India",2014-12-14,Gold,Bills,Female,486949
189,"Mumbai, India",2014-01-17,Gold,Bills,Female,333483
190,"Ahmedabad, India",2013-10-05,Platinum,Bills,Female,612572
191,"Bengaluru, India",2015-03-18,Silver,Bills,Female,327244
192,"Ahmedabad, India",2014-02-04,Silver,Bills,Female,955468
193,"Mumbai, India",2015-02-25,Gold,Bills,Female,927864
194,"Delhi, India",2014-03-28,Signature,Bills,Female,555220
195,"Delhi, India",2014-12-28,Silver,Bills,Female,952640
196,"Ahmedabad, India",2014-05-31,Silver,Bills,Female,695749
197,"Mumbai, India",2014-08-22,Platinum,Bills,Female,365724
198,"Mumbai, India",2015-03-03,Platinum,Bills,Female,738108
199,"Ahmedabad, India",2015-01-17,Platinum,Bills,Female,650785
200,"Delhi, India",2014-10-23,Signature,Bills,Female,611486
201,"Bengaluru, India",2014-08-05,Platinum,Bills,Female,965721
202,"Ahmedabad, India",2014-10-12,Gold,Bills,Female,413052
203,"Ahmedabad, India",2014-01-22,Silver,Bills,Female,584822
204,"Ahmedabad, India",2015-03-25,Gold,Bills,Female,980146
205,"Ahmedabad, India",2014-10-10,Signature,Bills,Female,926072
206,"Delhi, India",2014-04-16,Silver,Bills,Female,482394
207,"Bengaluru, India",2014-02-21,Signature,Bills,Female,718346
208,"Bengaluru, India",2014-04-24,Silver,Bills,Female,491598
209,"Delhi, India",2014-09-07,Platinum,Bills,Female,848852
210,"Bengaluru, India",2014-12-28,Gold,Bills,Female,396139
211,"Ahmedabad, India",2014-10-13,Signature,Bills,Female,856974
212,"Ahmedabad, India",2015-04-03,Signature,Bills,Female,855990
213,"Delhi, India",2015-02-16,Signature,Bills,Female,924776
214,"Mumbai, India",2014-04-03,Signature,Bills,Female,204850
215,"Delhi, India",2013-11-03,Platinum,Bills,Female,780669
216,"Mumbai, India",2014-04-17,Signature,Bills,Female,887442
217,"Delhi, India",2014-01-22,Signature,Bills,Female,297820
218,"Delhi, India",2015-03-14,Signature,Bills,Female,687879
219,"Mumbai, India",2013-10-13,Silver,Bills,Female,738456
220,"Delhi, India",2014-08-24,Platinum,Bills,Female,378535
221,"Mumbai, India",2015-05-09,Silver,Bills,Female,334116
222,"Delhi, India",2014-06-07,Silver,Bills,Female,772360
223,"Ahmedabad, India",2014-11-26,Gold,Bills,Female,580796
224,"Mumbai, India",2014-10-21,Silver,Bills,Female,855465
225,"Mumbai, India",2014-06-15,Gold,Bills,Female,978989
226,"Ahmedabad, India",2015-04-25,Gold,Bills,Female,451874
227,"Ahmedabad, India",2014-09-07,Silver,Bills,Female,670750
228,"Bengaluru, India",2015-05-19,Signature,Bills,Female,977951
229,"Delhi, India",2014-02-23,Platinum,Bills,Female,403466
230,"Delhi, India",2013-10-28,Signature,Bills,Female,861177
231,"Ahmedabad, India",2014-12-17,Gold,Bills,Female,528612
232,"Ahmedabad, India",2014-12-04,Signature,Bills,Female,339670
233,"Delhi, India",2013-11-18,Signature,Bills,Female,963751
234,"Ahmedabad, India",2014-11-30,Gold,Bills,Female,761930
235,"Ahmedabad, India",2014-08-21,Signature,Bills,Female,852806
236,"Delhi, India",2014-05-25,Signature,Bills,Female,207755
237,"Mumbai, India",2015-04-19,Gold,Bills,Female,489540
238,"Ahmedabad, India",2014-03-25,Silver,Bills,Female,274395
239,"Bengaluru, India",2014-02-11,Platinum,Bills,Female,566945
240,"Ahmedabad, India",2014-12-09,Gold,Bills,Female,705690
241,"Bengaluru, India",2014-03-25,Gold,Bills,Female,894888
242,"Mumbai, India",2014-01-02,Platinum,Bills,Female,811899
243,"Mumbai, India",2014-12-25,Silver,Bills,Female,677645
244,"Mumbai, India",2014-10-16,Platinum,Bills,Female,326162
245,"Delhi, India",2015-04-19,Platinum,Bills,Female,316946
246,"Delhi, India",2014-01-20,Platinum,Bills,Female,622373
247,"Bengaluru, India",2014-05-10,Signature,Bills,Female,640653
248,"Ahmedabad, India",2015-01-09,Signature,Bills,Female,745493
249,"Delhi, India",2013-10-31,Gold,Bills,Female,868021
250,"Delhi, India",2014-11-28,Platinum,Bills,Female,284923
251,"Bengaluru, India",2014-07-21,Platinum,Bills,Female,814422
252,"Bengaluru, India",2015-04-22,Gold,Bills,Female,599741
253,"Ahmedabad, India",2014-06-10,Platinum,Bills,Female,804560
254,"Ahmedabad, India",2015-04-17,Gold,Bills,Female,996291
255,"Ahmedabad, India",2013-11-09,Platinum,Bills,Female,477553
256,"Delhi, India",2015-01-02,Gold,Bills,Female,216028
257,"Mumbai, India",2015-03-10,Signature,Bills,Female,275427
258,"Delhi, India",2013-12-22,Silver,Bills,Female,722048
259,"Delhi, India",2015-02-14,Silver,Bills,Female,292365
260,"Ahmedabad, India",2015-01-30,Silver,Bills,Female,400393
261,"Mumbai, India",2014-04-01,Platinum,Bills,Female,219720
262,"Delhi, India",2015-02-15,Signature,Bills,Female,981404
263,"Bengaluru, India",2014-11-24,Signature,Bills,Female,639670
264,"Bengaluru, India",2014-08-07,Gold,Bills,Female,814333
265,"Ahmedabad, India",2013-10-17,Gold,Bills,Female,569582
266,"Ahmedabad, India",2014-05-25,Gold,Bills,Female,954111
267,"Ahmedabad, India",2014-05-16,Gold,Bills,Female,635267
268,"Delhi, India",2013-10-11,Gold,Bills,Female,393651
269,"Ahmedabad, India",2014-06-02,Platinum,Bills,Female,572306
270,"Ahmedabad, India",2014-08-06,Silver,Bills,Female,407647
271,"Mumbai, India",2015-01-26,Gold,Bills,Female,734396
272,"Delhi, India",2015-03-02,Platinum,Bills,Female,224414
273,"Ahmedabad, India",2014-09-10,Signature,Bills,Female,203194
274,"Mumbai, India",2015-01-22,Gold,Bills,Female,250410
275,"Delhi, India",2015-04-04,Silver,Bills,Female,830697
276,"Mumbai, India",2014-05-16,Platinum,Bills,Female,790800
277,"Mumbai, India",2014-02-22,Silver,Bills,Female,638570
278,"Mumbai, India",2014-08-13,Silver,Bills,Female,380409
279,"Mumbai, India",2014-04-01,Gold,Bills,Female,601631
280,"Ahmedabad, India",2014-01-08,Gold,Bills,Female,690534
281,"Ahmedabad, India",2015-03-05,Silver,Bills,Female,423661
282,"Mumbai, India",2014-12-08,Silver,Bills,Female,936294
283,"Bengaluru, India",2014-11-29,Platinum,Bills,Female,537050
284,"Delhi, India",2015-03-08,Silver,Bills,Female,899343
285,"Mumbai, India",2013-11-25,Platinum,Bills,Female,834691
286,"Ahmedabad, India",2015-04-13,Silver,Bills,Female,240216
287,"Mumbai, India",2014-04-15,Signature,Bills,Female,424370
288,"Delhi, India",2015-02-13,Silver,Bills,Female,593991
289,"Mumbai, India",2014-10-02,Signature,Bills,Female,768467
290,"Delhi, India",2015-02-07,Gold,Bills,Female,781959
291,"Bengaluru, India",2014-12-27,Platinum,Bills,Female,553907
292,"Bengaluru, India",2014-08-04,Platinum,Bills,Female,308622
293,"Mumbai, India",2015-05-05,Signature,Bills,Female,912334
294,"Delhi, India",2015-01-28,Silver,Bills,Female,586474
295,"Delhi, India",2014-04-06,Gold,Bills,Female,521237
296,"Delhi, India",2013-10-30,Signature,Bills,Female,446266
297,"Mumbai, India",2014-09-30,Platinum,Bills,Female,511168
298,"Bengaluru, India",2013-12-28,Signature,Bills,Female,608438
299,"Delhi, India",2014-10-18,Gold,Bills,Female,973519
300,"Delhi, India",2014-11-28,Platinum,Bills,Female,688577
301,"Bengaluru, India",2014-05-12,Silver,Bills,Female,686619
302,"Mumbai, India",2014-11-06,Signature,Bills,Female,255982
303,"Mumbai, India",2014-03-02,Signature,Bills,Female,464656
304,"Delhi, India",2015-04-19,Signature,Bills,Female,212319
305,"Mumbai, India",2015-04-18,Platinum,Bills,Female,307563
306,"Delhi, India",2015-04-15,Silver,Bills,Female,407564
307,"Bengaluru, India",2014-10-12,Signature,Bills,Female,331349
308,"Delhi, India",2015-04-14,Silver,Bills,Female,391325
309,"Ahmedabad, India",2014-10-07,Silver,Bills,Female,530244
310,"Mumbai, India",2014-04-16,Signature,Bills,Female,668736
311,"Bengaluru, India",2014-12-03,Gold,Bills,Female,517448
312,"Ahmedabad, India",2014-08-03,Platinum,Bills,Female,788531
313,"Ahmedabad, India",2014-03-17,Gold,Bills,Female,474729
314,"Bengaluru, India",2015-01-16,Platinum,Bills,Female,590841
315,"Mumbai, India",2014-01-05,Platinum,Bills,Female,608427
316,"Delhi, India",2015-05-02,Silver,Bills,Female,719835
317,"Delhi, India",2013-12-30,Signature,Bills,Female,375139
318,"Bengaluru, India",2014-05-19,Platinum,Bills,Female,229589
319,"Bengaluru, India",2014-07-05,Signature,Bills,Female,376453
320,"Delhi, India",2013-10-10,Signature,Bills,Female,360009
321,"Ahmedabad, India",2014-08-03,Signature,Bills,Female,770346
322,"Mumbai, India",2015-05-23,Signature,Bills,Female,489043
323,"Bengaluru, India",2014-11-11,Platinum,Bills,Female,503037
324,"Mumbai, India",2014-01-11,Platinum,Bills,Female,731261
325,"Ahmedabad, India",2014-02-14,Signature,Bills,Female,262755
326,"Mumbai, India",2014-07-16,Gold,Bills,Female,825475
327,"Mumbai, India",2014-02-24,Platinum,Bills,Female,922630
328,"Delhi, India",2014-09-25,Gold,Bills,Female,752172
329,"Ahmedabad, India",2014-06-11,Gold,Bills,Female,418009
330,"Delhi, India",2014-06-07,Signature,Bills,Female,994537
331,"Mumbai, India",2014-08-02,Silver,Bills,Female,922206
332,"Mumbai, India",2014-05-21,Signature,Bills,Female,389097
333,"Bengaluru, India",2015-04-04,Signature,Bills,Female,880778
334,"Mumbai, India",2015-03-03,Gold,Bills,Female,327971
335,"Bengaluru, India",2014-03-02,Signature,Bills,Female,689201
336,"Bengaluru, India",2015-05-17,Silver,Bills,Female,792440
337,"Bengaluru, India",2015-03-17,Signature,Bills,Female,602222
338,"Ahmedabad, India",2014-09-03,Platinum,Bills,Female,502399
339,"Ahmedabad, India",2014-03-17,Silver,Bills,Female,272804
340,"Bengaluru, India",2014-06-06,Platinum,Bills,Female,613280
341,"Delhi, India",2014-10-17,Signature,Bills,Female,876491
342,"Bengaluru, India",2014-02-25,Silver,Bills,Female,820217
343,"Mumbai, India",2014-09-06,Signature,Bills,Female,994184
344,"Ahmedabad, India",2013-12-07,Platinum,Bills,Female,515263
345,"Ahmedabad, India",2014-08-28,Signature,Bills,Female,338527
346,"Ahmedabad, India",2014-06-16,Silver,Bills,Female,934683
347,"Ahmedabad, India",2014-07-07,Signature,Bills,Female,454570
348,"Mumbai, India",2015-01-28,Gold,Bills,Female,654519
349,"Ahmedabad, India",2014-06-12,Gold,Bills,Female,958047
350,"Bengaluru, India",2013-11-03,Silver,Bills,Female,465281
351,"Ahmedabad, India",2013-12-31,Signature,Bills,Female,653161
352,"Ahmedabad, India",2014-04-14,Gold,Bills,Female,307350
353,"Mumbai, India",2014-08-27,Silver,Bills,Female,41002
354,"Bengaluru, India",2014-01-03,Silver,Bills,Female,34743
355,"Bengaluru, India",2014-09-26,Signature,Bills,Female,195589
356,"Bengaluru, India",2014-03-10,Signature,Bills,Female,204735
357,"Ahmedabad, India",2014-05-14,Signature,Bills,Female,118112
358,"Mumbai, India",2013-12-12,Platinum,Bills,Female,61572
359,"Delhi, India",2015-02-25,Gold,Bills,Female,274938
360,"Mumbai, India",2014-02-21,Signature,Bills,Female,43854
361,"Delhi, India",2014-04-27,Gold,Bills,Female,8798
362,"Mumbai, India",2015-05-08,Gold,Bills,Female,192241
363,"Bengaluru, India",2014-04-10,Silver,Bills,Female,128164
364,"Delhi, India",2014-04-28,Signature,Bills,Female,249061
365,"Mumbai, India",2014-01-29,Gold,Bills,Female,275283
366,"Mumbai, India",2014-01-03,Platinum,Bills,Female,172194
367,"Ahmedabad, India",2015-05-13,Gold,Bills,Female,13162
368,"Bengaluru, India",2015-02-05,Platinum,Bills,Female,3427
369,"Bengaluru, India",2015-01-07,Gold,Bills,Female,171374
370,"Delhi, India",2015-02-19,Signature,Bills,Female,286251
371,"Ahmedabad, India",2014-10-19,Platinum,Bills,Female,123417
372,"Delhi, India",2013-12-03,Silver,Bills,Female,81088
373,"Ahmedabad, India",2014-10-26,Signature,Bills,Female,64113
374,"Bengaluru, India",2014-03-27,Platinum,Bills,Female,54374
375,"Ahmedabad, India",2015-03-18,Signature,Bills,Female,175515
376,"Delhi, India",2013-11-25,Gold,Bills,Female,78773
377,"Bengaluru, India",2014-06-25,Signature,Bills,Female,143515
378,"Delhi, India",2014-11-22,Silver,Bills,Female,263613
379,"Mumbai, India",2015-04-22,Platinum,Bills,Female,265434
380,"Delhi, India",2014-06-03,Signature,Bills,Female,87839
381,"Delhi, India",2014-06-16,Signature,Bills,Female,60905
382,"Delhi, India",2015-04-09,Platinum,Bills,Female,199726
383,"Delhi, India",2015-01-20,Silver,Bills,Female,267896
384,"Ahmedabad, India",2013-12-31,Gold,Bills,Female,198937
385,"Mumbai, India",2014-10-02,Gold,Bills,Female,90745
386,"Mumbai, India",2014-07-24,Silver,Bills,Female,86676
387,"Mumbai, India",2015-05-08,Platinum,Bills,Female,163574
388,"Mumbai, India",2015-04-27,Signature,Bills,Female,2138
389,"Bengaluru, India",2014-06-11,Silver,Bills,Female,253749
390,"Delhi, India",2014-06-06,Platinum,Bills,Female,60187
391,"Bengaluru, India",2015-03-03,Platinum,Bills,Female,15566
392,"Mumbai, India",2014-07-11,Signature,Bills,Female,242144
393,"Delhi, India",2014-03-17,Platinum,Bills,Female,114049
394,"Bengaluru, India",2014-03-17,Gold,Bills,Female,100992
395,"Delhi, India",2014-03-03,Silver,Bills,Female,173017
396,"Mumbai, India",2014-06-07,Gold,Bills,Female,279567
397,"Delhi, India",2013-12-28,Signature,Bills,Female,25016
398,"Delhi, India",2013-11-11,Silver,Bills,Female,157982
399,"Bengaluru, India",2014-05-17,Signature,Bills,Female,240387
400,"Delhi, India",2014-08-31,Platinum,Bills,Female,134030
401,"Bengaluru, India",2015-01-26,Gold,Bills,Female,108651
402,"Delhi, India",2014-01-17,Gold,Bills,Female,138617
403,"Bengaluru, India",2014-01-27,Signature,Bills,Female,98963
404,"Delhi, India",2013-12-24,Silver,Bills,Female,25486
405,"Delhi, India",2015-03-03,Gold,Bills,Female,231140
406,"Ahmedabad, India",2013-10-22,Gold,Bills,Female,20032
407,"Mumbai, India",2015-01-14,Gold,Bills,Female,293938
408,"Delhi, India",2014-01-11,Silver,Bills,Female,88175
409,"Ahmedabad, India",2015-02-07,Platinum,Bills,Female,105297
410,"Delhi, India",2013-10-08,Platinum,Bills,Female,129169
411,"Mumbai, India",2014-08-14,Signature,Bills,Female,172386
412,"Mumbai, India",2015-05-09,Platinum,Bills,Female,46369
413,"Mumbai, India",2014-04-02,Silver,Bills,Female,158636
414,"Delhi, India",2014-11-26,Signature,Bills,Female,87219
415,"Delhi, India",2014-11-16,Gold,Bills,Female,183445
416,"Bengaluru, India",2014-06-27,Silver,Bills,Female,147977
417,"Ahmedabad, India",2014-11-19,Platinum,Bills,Female,243279
418,"Bengaluru, India",2014-04-04,Platinum,Bills,Female,243950
419,"Delhi, India",2015-04-14,Silver,Bills,Female,32548
420,"Delhi, India",2013-12-09,Platinum,Bills,Female,118126
421,"Mumbai, India",2013-11-30,Platinum,Bills,Female,13325
422,"Mumbai, India",2014-02-16,Gold,Bills,Female,295055
423,"Mumbai, India",2015-01-12,Platinum,Bills,Female,64764
424,"Bengaluru, India",2014-02-03,Platinum,Bills,Female,174520
425,"Delhi, India",2013-11-05,Signature,Bills,Female,72763
